Time Full,Time Empty,Truck,Assigned Shovel,Shovel,Blast,Elevation,Grade,Material,Assigned Dump,Dump,Tonnage,Truck Factor,Truck fill,Computed Tonnage,Grade 1,Grade 2,Grade 3,assignment_reason,dump.assignment_reason
8/3/2023 4:25,8/3/2023 4:33,HT134,EX204,EX204,ST_4_400_1,397.414,4400671HG-C1,HG,CRUSHER_2,CRUSHER_2,134.1,128,105%,128,0.437,0.014,0.29,Shovel Assignment,Dump Assignment
8/3/2023 4:26,8/3/2023 4:37,HT138,WL231,WL231,ST_8_370_2,367.418,8370647LG-B1,LG,CRUSHER_2,CRUSHER_2,123.2,128,96%,128,0.335,0.019,0.585,Unoptimized Assignment,Manual Assignment
8/3/2023 4:27,8/3/2023 4:43,HT125,WL231,EX201,ST_8_370_1,367.246,8370633HG-D1,HG,CRUSHER,CRUSHER,107.9,128,84%,128,0.626,0.011,0.723,Shovel Assignment,Dump Assignment
8/3/2023 4:27,8/3/2023 4:35,HT102,WL222,WL222,ST_4_410_3,407.431,4410630LO1,LO,DLP_511,DLP_511,,88,0%,88,0.472,0.007,0.167,Shovel Assignment,Locked Assignment
8/3/2023 4:28,8/3/2023 4:36,HT135,EX204,EX204,ST_4_400_1,398.545,4400671HG-C1,HG,CRUSHER_2,CRUSHER_2,139.1,128,109%,128,0.437,0.014,0.29,Shovel Assignment,Dump Assignment
8/3/2023 4:28,8/3/2023 4:44,HT127,EX201,EX201,ST_8_370_1,367.556,8370633HG-D1,HG,CRUSHER,CRUSHER,103.1,128,81%,128,0.626,0.011,0.723,Shovel Assignment,Dump Assignment
8/3/2023 4:29,8/3/2023 4:40,HT126,WL231,WL231,ST_8_370_2,367.878,8370647LG-B1,LG,CRUSHER_2,CRUSHER_2,120.2,128,94%,128,0.335,0.019,0.585,Shovel Assignment,Manual Assignment
8/3/2023 4:30,8/3/2023 4:46,HT152,EX206,EX206,ST_2_250_1,246.534,2250618HG-C1,HG,CRUSHER_2,CRUSHER_2,230.8,233,99%,233,0.511,0.022,0.991,Shovel Assignment,Manual Assignment
8/3/2023 4:32,8/3/2023 4:43,HT128,WL231,WL231,ST_8_370_2,365.347,8370647LG-B1,LG,CRUSHER,CRUSHER,117.2,128,92%,128,0.335,0.019,0.585,Unoptimized Assignment,Dump Assignment
8/3/2023 4:32,8/3/2023 4:45,HT129,EX201,EX201,ST_8_370_1,367.926,8370633HG-D1,HG,CRUSHER_2,CRUSHER_2,110.5,128,86%,128,0.626,0.011,0.723,Shovel Assignment,Manual Assignment
8/3/2023 4:33,8/3/2023 4:41,HT137,WL222,WL222,ST_4_410_3,407.411,4410630LO1,LO,DLP_511,DLP_511,117.4,128,92%,128,0.472,0.007,0.167,Shovel Assignment,Locked Assignment
8/3/2023 4:33,8/3/2023 4:42,HT123,EX204,EX204,ST_4_400_1,398.665,4400671HG-C1,HG,CRUSHER_2,CRUSHER_2,128.8,128,101%,128,0.437,0.014,0.29,Shovel Assignment,Dump Assignment
8/3/2023 4:35,8/3/2023 4:50,HT143,EX206,EX206,ST_2_250_1,249.175,2250618HG-C1,HG,CRUSHER_2,CRUSHER_2,220.1,233,94%,233,0.511,0.022,0.991,Shovel Assignment,Dump Assignment
8/3/2023 4:35,8/3/2023 4:43,HT136,EX204,EX204,ST_4_400_1,395.273,4400671HG-C1,HG,CRUSHER_2,CRUSHER_2,111.4,128,87%,128,0.437,0.014,0.29,Unoptimized Assignment,Dump Assignment
8/3/2023 4:37,8/3/2023 4:50,HT149,EX201,EX201,ST_8_370_1,365.975,8370633HG-D1,HG,CRUSHER,CRUSHER,209.3,233,90%,233,0.626,0.011,0.723,Shovel Assignment,Manual Assignment
8/3/2023 4:38,8/3/2023 4:45,HT133,EX204,EX204,ST_4_400_1,397.724,4400671HG-C1,HG,CRUSHER,CRUSHER,138.9,128,109%,128,0.437,0.014,0.29,Shovel Assignment,Manual Assignment
8/3/2023 4:39,8/3/2023 4:53,HT145,EX206,EX206,ST_2_250_1,250.215,2250618HG-C1,HG,CRUSHER,CRUSHER,218.6,233,94%,233,0.511,0.022,0.991,Shovel Assignment,Dump Assignment
8/3/2023 4:39,8/3/2023 4:48,HT130,WL222,WL222,ST_4_410_3,407.021,4410630LO1,LO,DLP_511,DLP_511,127.3,128,99%,128,0.472,0.007,0.167,Shovel Assignment,Locked Assignment
8/3/2023 4:41,8/3/2023 4:57,HT142,EX201,EX201,ST_8_370_1,367.956,8370633HG-D1,HG,CRUSHER_2,CRUSHER_2,216.1,233,93%,233,0.626,0.011,0.723,Manual Assignment,Dump Assignment
8/3/2023 4:41,8/3/2023 4:49,HT134,EX204,EX204,ST_4_400_1,397.244,4400671HG-C1,HG,CRUSHER,CRUSHER,118.8,128,93%,128,0.437,0.014,0.29,Shovel Assignment,Manual Assignment
8/3/2023 4:42,8/3/2023 4:55,HT141,EX206,EX206,ST_2_250_1,250.625,2250618HG-C1,HG,CRUSHER_2,CRUSHER_2,210,233,90%,233,0.511,0.022,0.991,Shovel Assignment,Manual Assignment
8/3/2023 4:43,8/3/2023 4:52,HT131,WL222,WL222,ST_4_410_3,407.241,4410630LO1,LO,DLP_511,DLP_511,109.9,128,86%,128,0.472,0.007,0.167,Shovel Assignment,Locked Assignment
8/3/2023 4:44,8/3/2023 4:52,HT135,EX204,EX204,ST_4_400_1,397.654,4400671HG-C1,HG,CRUSHER_2,CRUSHER_2,133.9,128,105%,128,0.437,0.014,0.29,Shovel Assignment,Dump Assignment
8/3/2023 4:45,8/3/2023 4:56,HT121,WL231,WL231,ST_8_370_2,367.608,8370647LG-B1,LG,CRUSHER,CRUSHER,118.3,128,92%,128,0.335,0.019,0.585,Shovel Assignment,Dump Assignment
8/3/2023 4:45,8/3/2023 5:00,HT147,EX206,EX206,ST_2_250_1,247.964,2250618HG-C1,HG,CRUSHER,CRUSHER,125.4,233,54%,233,0.511,0.022,0.991,Shovel Assignment,Dump Assignment
8/3/2023 4:46,8/3/2023 4:54,HT102,WL222,WL222,ST_4_410_3,406.391,4410630LO1,LO,DLP_511,DLP_511,,88,0%,88,0.472,0.007,0.167,Shovel Assignment,Locked Assignment
8/3/2023 4:48,8/3/2023 4:58,HT137,WL222,WL222,ST_4_410_3,407.171,4410630LO1,LO,DLP_511,DLP_511,114.5,128,89%,128,0.472,0.007,0.167,Shovel Assignment,Locked Assignment
8/3/2023 4:48,8/3/2023 4:59,HT138,WL231,WL231,ST_8_370_2,366.758,8370647LG-B1,LG,CRUSHER,CRUSHER,119.6,128,93%,128,0.335,0.019,0.585,Manual Assignment,Manual Assignment
8/3/2023 4:49,8/3/2023 5:05,HT150,EX206,EX206,ST_2_250_1,245.443,2250618HG-C1,HG,CRUSHER_2,CRUSHER_2,228.9,233,98%,233,0.511,0.022,0.991,Shovel Assignment,Dump Assignment
8/3/2023 4:50,8/3/2023 4:57,HT123,EX204,EX204,ST_4_400_1,398.044,4400671HG-C1,HG,CRUSHER,CRUSHER,128.4,128,100%,128,0.437,0.014,0.29,Shovel Assignment,Manual Assignment
8/3/2023 4:50,8/3/2023 5:04,HT146,EX201,EX201,ST_8_370_1,370.007,8370633HG-D1,HG,CRUSHER,CRUSHER,211.1,233,91%,233,0.626,0.011,0.723,Manual Assignment,Dump Assignment
8/3/2023 4:52,8/3/2023 5:03,HT125,EX201,WL231,ST_8_370_2,366.497,8370647LG-B1,LG,CRUSHER_2,CRUSHER_2,120.1,128,94%,128,0.335,0.019,0.585,Shovel Assignment,Manual Assignment
8/3/2023 4:52,8/3/2023 5:00,HT136,EX204,EX204,ST_4_400_1,395.323,4400671HG-C1,HG,CRUSHER_2,CRUSHER_2,122.8,128,96%,128,0.437,0.014,0.29,Unoptimized Assignment,Manual Assignment
8/3/2023 4:53,8/3/2023 5:08,HT126,EX201,EX201,ST_8_370_1,367.666,8370633HG-D1,HG,CRUSHER,CRUSHER,107.6,128,84%,128,0.626,0.011,0.723,Shovel Assignment,Dump Assignment
8/3/2023 4:54,8/3/2023 5:08,HT127,WL231,WL231,ST_8_370_2,365.917,8370647LG-B1,LG,CRUSHER_2,CRUSHER_2,120.9,128,94%,128,0.335,0.019,0.585,Shovel Assignment,Manual Assignment
8/3/2023 4:55,8/3/2023 5:02,HT133,EX204,EX204,ST_4_400_1,397.244,4400671HG-C1,HG,CRUSHER_2,CRUSHER_2,130.6,128,102%,128,0.437,0.014,0.29,Shovel Assignment,Dump Assignment
