Time Full,Time Empty,Truck,Assigned Shovel,Shovel,Blast,Elevation,Grade,Material,Assigned Dump,Dump,Tonnage,Truck Factor,Truck fill,Computed Tonnage,Grade 1,Grade 2,Grade 3,assignment_reason,dump.assignment_reason
2/1/2023 3:03,2/1/2023 3:10,HT122,WL231,WL231,ST_4_410_4,408.836,4410010NW1,NW,PAD_FOR_WEST_OFF_STK,PAD_FOR_WEST_OFF_STK,130.4,128,102,128,0.097,0.001,2.233,Shovel Assignment,Locked Assignment
2/1/2023 3:04,2/1/2023 3:11,HT132,EX204,EX204,ST_4_410_3,406.887,4410231LO2,LO,DLP_415_,DLP_415_,117.4,128,92,128,0.401,0.007,0.103,Unoptimized Assignment,Locked Assignment
2/1/2023 3:04,2/1/2023 3:18,HT147,EX206,EX206,ST_2_280_1,279.972,2280659HG-D1,HG,CRUSHER_2,CRUSHER_2,245.5,233,105,233,0.654,0.006,1.479,Unoptimized Assignment,Locked Assignment
2/1/2023 3:04,2/1/2023 3:12,HT135,EX203,EX203,ST_9_TS_2,416.302,5420220NW3,NW,PAD_TRLG,PAD_TRLG,131.7,128,103,128,0.115,0.001,0.072,Shovel Assignment,Locked Assignment
2/1/2023 3:06,2/1/2023 3:16,HT129,EX204,EX204,ST_4_410_3,406.877,4410231LO2,LO,DLP_415_,DLP_415_,121.7,128,95,128,0.401,0.007,0.103,Shovel Assignment,Locked Assignment
2/1/2023 3:06,2/1/2023 3:14,HT101,WL221,WL221,ST_5_420_1,415.581,5420219LO3,LO,DLP_415_,DLP_415_,47.314,88,54,88,0.159,0.001,0.123,Shovel Assignment,Locked Assignment
2/1/2023 3:07,2/1/2023 3:15,HT126,WL231,WL231,ST_4_410_4,408.676,4410010NW1,NW,PAD_FOR_WEST_OFF_STK,PAD_FOR_WEST_OFF_STK,119.5,128,93,128,0.097,0.001,2.233,Shovel Assignment,Locked Assignment
2/1/2023 3:08,2/1/2023 3:22,HT141,EX205,EX205,ST_8_400_3,389.393,8390602LG-B1,LG,CRUSHER_2,CRUSHER_2,224.7,233,96,233,0.311,0.009,0.565,Shovel Assignment,Locked Assignment
2/1/2023 3:09,2/1/2023 3:15,HT137,EX203,EX203,ST_9_TS_2,415.362,5420220NW3,NW,PAD_TRLG,PAD_TRLG,123.9,128,97,128,0.115,0.001,0.072,Shovel Assignment,Locked Assignment
2/1/2023 3:10,2/1/2023 3:18,HT134,WL231,WL231,ST_4_410_4,409.316,4410010NW1,NW,PAD_FOR_WEST_OFF_STK,PAD_FOR_WEST_OFF_STK,101.7,128,79,128,0.097,0.001,2.233,Shovel Assignment,Locked Assignment
2/1/2023 3:10,2/1/2023 3:27,HT149,EX206,EX206,ST_2_280_1,278.761,2280659HG-D1,HG,CRUSHER_2,CRUSHER_2,213.0,233,91,233,0.654,0.006,1.479,Shovel Assignment,Locked Assignment
2/1/2023 3:11,2/1/2023 3:19,HT124,EX204,EX204,ST_4_410_3,405.797,4410231LO2,LO,DLP_415_,DLP_415_,117.1,128,91,128,0.401,0.007,0.103,Shovel Assignment,Locked Assignment
2/1/2023 3:12,2/1/2023 3:17,HT136,EX203,EX203,ST_9_TS_2,417.553,5420220NW3,NW,PAD_TRLG,PAD_TRLG,119.7,128,94,128,0.115,0.001,0.072,Shovel Assignment,Locked Assignment
2/1/2023 3:13,2/1/2023 3:31,HT150,EX205,EX205,ST_8_400_3,383.38,8390602LG-B1,LG,CRUSHER_2,CRUSHER_2,229.3,233,98,233,0.311,0.009,0.565,Shovel Assignment,Locked Assignment
2/1/2023 3:13,2/1/2023 3:21,HT128,EX204,EX204,ST_4_410_3,405.817,4410231LO2,LO,DLP_415_,DLP_415_,121.4,128,95,128,0.401,0.007,0.103,Shovel Assignment,Locked Assignment
2/1/2023 3:15,2/1/2023 3:23,HT133,WL231,WL231,ST_4_410_4,409.096,4410010NW1,NW,PAD_FOR_WEST_OFF_STK,PAD_FOR_WEST_OFF_STK,126.3,128,99,128,0.097,0.001,2.233,Shovel Assignment,Locked Assignment
2/1/2023 3:15,2/1/2023 3:22,HT131,WL221,WL221,ST_5_420_1,418.292,5420219LO3,LO,DLP_415_,DLP_415_,130.2,128,102,128,0.159,0.001,0.123,Unoptimized Assignment,Locked Assignment
2/1/2023 3:15,2/1/2023 3:22,HT123,EX203,EX203,ST_9_TS_2,417.393,5420220NW3,NW,PAD_TRLG,PAD_TRLG,129.7,128,101,128,0.115,0.001,0.072,Shovel Assignment,Locked Assignment
2/1/2023 3:15,2/1/2023 3:27,HT144,EX206,EX206,ST_2_280_1,279.972,2280659HG-D1,HG,CRUSHER,CRUSHER,228.7,233,98,233,0.654,0.006,1.479,Unoptimized Assignment,Manual Assignment
2/1/2023 3:16,2/1/2023 3:25,HT121,EX204,EX204,ST_4_410_3,407.217,4410231LO2,LO,DLP_415_,DLP_415_,119.0,128,93,128,0.401,0.007,0.103,Shovel Assignment,Locked Assignment
2/1/2023 3:17,2/1/2023 3:33,HT152,EX205,EX205,ST_8_400_3,384.08,8390602LG-B1,LG,CRUSHER_2,CRUSHER_2,224.4,233,96,233,0.311,0.009,0.565,Shovel Assignment,Locked Assignment
2/1/2023 3:18,2/1/2023 3:25,HT130,WL221,EX203,ST_9_TS_2,416.222,5420220NW3,NW,PAD_TRLG,PAD_TRLG,119.2,128,93,128,0.115,0.001,0.072,Manual Assignment,Locked Assignment
2/1/2023 3:18,2/1/2023 3:26,HT122,WL231,WL231,ST_4_410_4,407.946,4410010NW1,NW,PAD_FOR_WEST_OFF_STK,PAD_FOR_WEST_OFF_STK,107.5,128,84,128,0.097,0.001,2.233,Shovel Assignment,Locked Assignment
2/1/2023 3:19,2/1/2023 3:26,HT132,EX204,EX204,ST_4_410_3,406.937,4410231LO2,LO,DLP_415_,DLP_415_,114.0,128,89,128,0.401,0.007,0.103,Shovel Assignment,Locked Assignment
2/1/2023 3:19,2/1/2023 3:26,HT148,EX206,EX206,ST_2_280_1,283.523,2280659HG-D1,HG,CRUSHER_2,CRUSHER_2,219.7,233,94,233,0.654,0.006,1.479,Unoptimized Assignment,Locked Assignment
2/1/2023 3:21,2/1/2023 3:33,HT151,EX206,EX206,ST_2_280_1,275.75,2280659HG-D1,HG,CRUSHER,CRUSHER,239.2,233,103,233,0.654,0.006,1.479,Shovel Assignment,Manual Assignment
2/1/2023 3:21,2/1/2023 3:28,HT125,WL221,WL221,ST_5_420_1,415.181,5420219LO3,LO,DLP_415_,DLP_415_,132.6,128,104,128,0.159,0.001,0.123,Unoptimized Assignment,Locked Assignment
2/1/2023 3:23,2/1/2023 3:30,HT138,EX203,EX203,ST_9_TS_2,418.093,5420220NW3,NW,PAD_TRLG,PAD_TRLG,145.6,128,114,128,0.115,0.001,0.072,Shovel Assignment,Locked Assignment
2/1/2023 3:24,2/1/2023 3:37,HT146,EX206,EX206,ST_2_280_1,279.862,2280659HG-D1,HG,CRUSHER_2,CRUSHER_2,211.8,233,91,233,0.654,0.006,1.479,Unoptimized Assignment,Locked Assignment
2/1/2023 3:24,2/1/2023 3:34,HT143,EX205,EX205,ST_8_400_3,390.933,8390602LG-B1,LG,CRUSHER,CRUSHER,215.3,233,92,233,0.311,0.009,0.565,Unoptimized Assignment,Manual Assignment
2/1/2023 3:24,2/1/2023 3:33,HT129,EX203,EX203,ST_9_TS_2,416.772,5420220NW3,NW,PAD_TRLG,PAD_TRLG,116.1,128,91,128,0.115,0.001,0.072,Manual Assignment,Locked Assignment
2/1/2023 3:26,2/1/2023 3:34,HT135,WL221,WL221,ST_5_420_1,416.242,5420219LO3,LO,DLP_415_,DLP_415_,130.4,128,102,128,0.159,0.001,0.123,Shovel Assignment,Locked Assignment
2/1/2023 3:26,2/1/2023 3:33,HT126,WL231,WL231,ST_4_410_4,408.346,4410010NW1,NW,PAD_FOR_WEST_OFF_STK,PAD_FOR_WEST_OFF_STK,118.8,128,93,128,0.097,0.001,2.233,Shovel Assignment,Locked Assignment
2/1/2023 3:27,2/1/2023 3:35,HT124,EX204,EX204,ST_4_410_3,405.717,4410231LO2,LO,DLP_415_,DLP_415_,114.2,128,89,128,0.401,0.007,0.103,Shovel Assignment,Locked Assignment
2/1/2023 3:28,2/1/2023 3:33,HT102,,EX203,ST_9_TS_2,,5420220NW3,NW,PAD_TRLG,PAD_TRLG,80.0,80,100,80,0.115,0.001,0.072,,
2/1/2023 3:28,2/1/2023 3:33,HT102,,EX203,ST_9_TS_2,,5420220NW3,NW,PAD_TRLG,PAD_TRLG,80.0,80,100,80,0.115,0.001,0.072,,
2/1/2023 3:28,2/1/2023 3:41,HT147,EX206,EX206,ST_2_280_1,279.332,2280659HG-D1,HG,CRUSHER,CRUSHER,232.8,233,100,233,0.654,0.006,1.479,Shovel Assignment,Dump Target Feed Rate
2/1/2023 3:29,2/1/2023 3:37,HT142,EX205,EX205,ST_8_400_3,388.842,8390602LG-B1,LG,CRUSHER,CRUSHER,206.0,233,88,233,0.311,0.009,0.565,Shovel Assignment,Dump Target Feed Rate
2/1/2023 3:29,2/1/2023 3:37,HT101,EX203,WL221,ST_5_420_1,415.551,5420219LO3,LO,DLP_415_,DLP_415_,52.768,88,60,88,0.159,0.001,0.123,Manual Assignment,Locked Assignment
2/1/2023 3:29,2/1/2023 3:36,HT123,EX203,EX203,ST_9_TS_2,416.712,5420220LO6,LO,DLP_415_,DLP_415_,117.4,128,92,128,0.155,0.001,0.024,Shovel Assignment,Locked Assignment
2/1/2023 3:30,2/1/2023 3:39,HT128,EX204,EX204,ST_4_410_3,405.947,4410231LO2,LO,DLP_415_,DLP_415_,119.9,128,94,128,0.401,0.007,0.103,Shovel Assignment,Locked Assignment
2/1/2023 3:30,2/1/2023 3:46,HT137,EX206,EX206,ST_2_280_1,274.87,2280659HG-D1,HG,CRUSHER,CRUSHER,124.2,128,97,128,0.654,0.006,1.479,Manual Assignment,Dump Target Feed Rate
2/1/2023 3:31,2/1/2023 3:39,HT133,WL231,WL231,ST_4_410_4,408.806,4410010NW1,NW,PAD_FOR_WEST_OFF_STK,PAD_FOR_WEST_OFF_STK,130.5,128,102,128,0.097,0.001,2.233,Shovel Assignment,Locked Assignment
2/1/2023 3:32,2/1/2023 3:40,HT131,EX204,EX204,ST_4_410_3,408.038,4410231LO2,LO,DLP_415_,DLP_415_,134.5,128,105,128,0.401,0.007,0.103,Shovel Assignment,Locked Assignment
2/1/2023 3:33,2/1/2023 3:40,HT130,EX203,EX203,ST_9_TS_2,415.982,5420220LO6,LO,DLP_415_,DLP_415_,125.7,128,98,128,0.155,0.001,0.024,Shovel Assignment,Locked Assignment
2/1/2023 3:33,2/1/2023 3:47,HT134,EX206,EX206,ST_2_280_1,276.871,2280659HG-D1,HG,CRUSHER_2,CRUSHER_2,125.3,128,98,128,0.654,0.006,1.479,Manual Assignment,Dump Assignment
2/1/2023 3:33,2/1/2023 3:42,HT132,EX204,EX204,ST_4_410_3,406.777,4410231LO2,LO,DLP_415_,DLP_415_,120.8,128,94,128,0.401,0.007,0.103,Shovel Assignment,Locked Assignment
2/1/2023 3:34,2/1/2023 3:42,HT122,WL231,WL231,ST_4_410_4,407.886,4410010NW1,NW,PAD_FOR_WEST_OFF_STK,PAD_FOR_WEST_OFF_STK,127.2,128,99,128,0.097,0.001,2.233,Shovel Assignment,Locked Assignment
2/1/2023 3:34,2/1/2023 3:45,HT141,EX205,EX205,ST_8_400_3,389.082,8390602LG-B1,LG,CRUSHER_2,CRUSHER_2,220.0,233,94,233,0.311,0.009,0.565,Shovel Assignment,Manual Assignment
2/1/2023 3:36,2/1/2023 3:36,HT138,EX203,EX203,ST_9_TS_2,418.433,5420220LO6,LO,DLP_415_,DLP_415_,123.6,128,97,128,0.155,0.001,0.024,Shovel Assignment,Locked Assignment
2/1/2023 3:36,2/1/2023 3:49,HT148,EX206,EX206,ST_2_280_1,285.544,2280659HG-D1,HG,CRUSHER_2,CRUSHER_2,212.8,233,91,233,0.654,0.006,1.479,Shovel Assignment,Dump Assignment
2/1/2023 3:38,2/1/2023 3:46,HT125,EX204,EX204,ST_4_410_3,405.497,4410231LO2,LO,DLP_415_,DLP_415_,128.6,128,100,128,0.401,0.007,0.103,Shovel Assignment,Locked Assignment
2/1/2023 3:38,2/1/2023 3:52,HT136,WL222,WL222,ST_2_280_2,279.076,2280647HG-C1,HG,CRUSHER_2,CRUSHER_2,129.1,128,101,128,0.473,0.014,0.916,Unoptimized Assignment,Manual Assignment
2/1/2023 3:40,2/1/2023 3:52,HT144,EX206,EX206,ST_2_280_1,279.492,2280659HG-D1,HG,CRUSHER,CRUSHER,233.1,233,100,233,0.654,0.006,1.479,Unoptimized Assignment,Manual Assignment
